Nome do negócio,Nome do contato no negócio,Qual feature está indisponível,Motivo fechamento perdido,Data entrada perdido SDR,Data entrada perdido CLOSER,Número de lojas,Observação,Observações de atividades
Pastel Da Mi - Centro,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Monstro Hamburgueria - Vila Guaíra,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"18988254456
 Guilherme, esta super interessado, na cidade dele esta tranquilo por enquanto e quer muito se desenvolver com a Collact @Amanda Chinelatto",
Amazon Cacau - Bairro,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
OXE É de Minas - Horto Florestal,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,estamos marcando junto com toda sua equipe para fazer o treinamento,
Nella Pietra - Cxs - Santa Catarina,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"13/04: PQP mano, é uma rede de 10 lojas e eles fecharam com a stone e tb com a collact recente! Ele disse q usava um sistema de fidelidade no delivery e o cartão, a ideia é juntar tudo e passar a usar só collact! Reunião: 14/04 às 10:30 @Eduardo Figueiredo",
Affinis Cafeteria - SANTA MONICA,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Soul Jazz Burguer - Jardim Girassol,,SmartPOS,Não quis ouvir,2025-07-19T21:56:02.468Z,,,Retornar 14 Hrs,
Burguerzia - Rodoviário,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"@Ana Carvalho 25/05/2020: Tentei contato pelo whatsapp e não obtive resposta! Só visualizaram. {CAMPANHA DE OFERTAS ATIVAS}
 @Ana Carvalho 28/05/2020: Tentei novamente contato pelo whatsapp e não obtive resposta. só visualizaram {CAMPANHA DE OFERTAS ATIVAS}",
Açaílogia - Ipsep,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"30/04: Ai ele é um fofoooo, bem interessado , me metralhou de pergunta haha Se interessou bastante pelo onboarding! Ele me questionou uma coisa e preciso q vc confirme: as avaliações não ta liberada pra ele, pq? Pensei q já tava pra toda base. Ele disse q foi uma das coisas q mais fez ele querer o aplicativo além da base de clientes. Coloca no Comprelocal q ele não ta! Reunião: 05/05 às 14:15 @Bruna Gianini",
Giulietta Massas Artesanais - Águas Claras Sul,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"Ela reclamou do nosso atendimento na aquisição, mas acho que recuperei ela hehe Ela nem sabia como usar a ferramenta na maquininha! Apesar do problema ela foi suuuper compreensiva e no final da conversa ela foi bem mais aberta. Ela disse que iria testar agora pra ver se conseguia pelo menos cadastrar ela mesma pra testar hehe Reunião: 13/03 às 11:15 @Eduardo Figueiredo 
 Massas artesanais.",
Cadê Meu Doce? - Turu,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"22/04: É a cliente q a agente falou, ela é muito fofa, disse q está uma loucura lá e elas trabalham com bolos, doces e salgados agora. Reunião: 24/04 às 10:30 @Catarina Melo",
BOB ESPONJA LANCHES ????????❤ - Solo Sagrado I,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"Não atendeu (2x)
 Atendeu e desligou",
"Ow Cafe - Rua Independência,4559",,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"14/04: meninaa ele é muitoo legal haha O café é todo bonitinho e eles inauguraram agora dia 19, são bem antenados e ele falou que os clientes frequentam o café com grande frequência, então naa mais justo que um sistema pra fidelizar ainda mais esses clientes e ele quis experimentar a collact. Reunião: 16/04 às 17:15 @Amanda Chinelatto",
Europoint Pizzaria - Cancelli,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"06/05: TD assumiu a pizzaria ontem, estão atendendo só por delivery (ifood, whatsapp e telefone). Entregador próprio. TD estava MUITO disperso durante a videochamada, não consegui explicar tudo no detalhe, mas vou mandar tudo pelo whatsapp.",
Frango & Chopp - Centro,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"15/04: passamos um tempão falando da importância de se ter os contatos do cliente, principalmente nos dias de hj, ela disse q foi oq ela mais gostou da collact, contei uns cases q já vimos e ela se interessou bastante. Reunião: 16/04 às 17:15 @Pedro Melges",
Empório Vida e Saúde - Centro,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"43984327552 - Erica
 21/05: TD não sabia o que era a Collact, porque foi o filho dela que fez o autocred, mas não finalizou a parte de criação do usuário, então estava sem permissão no painel. Expliquei sobre a Collact e a TD adorou, disse que vai cadastrar bastante gente.",
Bella Morano - BELA VISTA,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"23/04: ele é muuuito fofo, o agente basicamente explicou NADA de collact, expliquei pra ele então como funcionamos, o CRM e o CompreLocal e ele edorou, disse que já trabalhou com algo igual e que era inclusive mais caro. Cadastra ele no CompreLocal. Reunião: 28/04 às 15 hrs @Eduardo Figueiredo",
Delas Hamburgueria Gourmet - residencial village santana,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"12996573909
 - 12/05/2020 - TD mega animada com a ferramenta! ela estava procurando algo que transformasse a frequeência dos clientes em créditos (deu exemplo do app Shell).
 Ficou um pouco insegura sobre explicar pro motoboys mas disse que sua equipe é esperta, então vai dar certo!",
Cantina Da Angra - Plano Diretor Sul,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"@Ana Carvalho 22/05/2020: falei com a td, agendamos um horário, porém ela parou de responder e não entrou na videocall",
Açaí Beat Cerro Azul - Cerro Azul,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,44988075273 - Bruno,
Cozinha dos Fundos Burger Co - Jardim das Américas,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"@Ana Carvalho 25/05/2020: Tentei contato pelo whatsapp e não obtive resposta! Só visualizaram. {CAMPANHA DE OFERTAS ATIVAS}
 @Ana Carvalho 28/05/2020: Tentei novamente contato pelo whatsapp e não obtive resposta. visualizou e ouviu mas não respondeu; {CAMPANHA DE OFERTAS ATIVAS}
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta - só visualizou.",
Cia da Saúde - Estreito - Balneário,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Bom Paka's - Jardim Tijuca,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,68000000000,
Cafe Moinho - Vila Yolanda,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"17/01: contato proativo do TD, chegou tirando dúvidas",
Caroço De Açaí - Grajau,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,31/7 - Enviei msg padrão de primeiro contato,
Prize Burguer - Recreio dos Bandeirantes,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Brothers - José de Alencar,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"08/01: área bem residencial, abriraram mais dois concorrentes próximos (antes, só tinha esse EC) recentemente. Têm motoboys próprios. 70% das vendas em delivery. Maior dificuldade é em conseguir novos clientes. TD acha que Collact ainda não está fazendo muita diferença.",
Panelinha Coz. Afetiva - Asa Norte,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Porta De Botiquim - CENTRO,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Padaria Flamboyant - Parque Alfaville,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"- 13/12 - Enviei wpp encerrando contato e me colocando à disposição para conversarmos quando ele tiver interesse
 
 - 28/11 - compilado de informações sobre o cliente em https://docs.google.com/spreadsheets/d/1PJ1wrwgRCd54Rp4B4z4r39Uvk16j1wFEFmIfW4TXjZA/edit?ts=5ddfd18d#gid=0
 
 - De posse dessas informações, Victor enviou mensagem via workplace para Agente Stone responsável pelo EC. A ideia é que o Agente nos ajude a fazer contato com o TD e incentivar o engajamento do mesmo com a ferramenta
 
 - 25/11 - FUP wpp
 - 22/11 - FUP wpp (TD respondeu mas não prosseguiu conversa)
 - 21/11 - Loom enviado: https://www.loom.com/share/ee2c768dd5624eb8a2d15d6399942436",
Burgway Tirol - Petrópolis,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,85000000000,
Sol E Vida Beach - Praia do Flamengo,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,72000000000,
Cantinho Da Maria - Campos Elíseos,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"- 13/12 - FUP wpp
 
 - 02/12- email com informações sobre uso do painel, reforço da ""frase mágica"" e sugestão de oferta de boas vindas",
Atelie Das Gostosuras - Setimo BEC,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Santé Café - Centro Histórico,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Sancho Panca - Jardim Sao Luiz,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Sapore - São Mateus,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"* Cliente não sabia que estava desligado
 * A menina que era a owner de Collact dentro do estabelecimento saiu da loja",
Grão Empório Natural - Olinda - Bairro Novo,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"- 13/12 - Finalizei contato e me coloquei à disposição para conversar em momento oportuno para o cliente
 
 - 29/11 - email com informações sobre uso do painel, reforço da ""frase mágica"" e sugestão de oferta de boas vindas e clientes em risco
 
 - 28/11 - compilado de informações sobre o cliente em https://docs.google.com/spreadsheets/d/1PJ1wrwgRCd54Rp4B4z4r39Uvk16j1wFEFmIfW4TXjZA/edit?ts=5ddfd18d#gid=0
 
 - De posse dessas informações, Victor enviou mensagem via workplace para Agente Stone responsável pelo EC. A ideia é que o Agente nos ajude a fazer contato com o TD e incentivar o engajamento do mesmo com a ferramenta",
Arena Do Vinho - Vila Progredior,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Raizes Natural Food - Zona 01,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,45000000000,
Park Express - Park Sul,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Bar Do Feijao - Potengi,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Café Caipira - Ingleses do Rio Vermelho,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"*Decidiu não utilizar porque o sócio quer testar a maquininha bin.
 
 *Combinamos de desativar a função de cadastramento pra manter o cliente no aplicativo
 * O cliente está com problemas de tempo pra lidar com Collact agora. Combinamos de ele deixar o aplicativo aberto pra coletar informação e discutirmos depois
 
 
 O número de teletone desse cliente não está correto!",
Muuh Acouguebar - Vila Amelia,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,**,
La Rouge - MONT'SERRAT,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,"51993020856
 primeiro contato feito. Vídeo enviado...
 Informou que tinha muito interesse em aprender sobre ofertas, mas no final, não reagiu ao material e desligou o app",
Bruttus Burguer - Osasco,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Dani Burguer - Centro,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,55000000000,
Amsterda Sorvetes - Parque Campolim,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Frasca Pizzeria Napoletana - Centro,,,Limpeza de Funil,2025-01-24T18:36:47.596Z,,,,
Reperttorio - Arne,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"25/11 - Mensagem de FUP enviada, cliente interagiu dizendo que estava de férias mas que tem interesse no projeto. Gostaria de displays de mesa e panfletos sobre collact.
 21/11 - Recebeu o vídeo, mas não interagiu.
 Video Loom: https://www.loom.com/share/44ef67a8f61b440dbe6e957546eb0f26
 @Ana Carvalho 18/05/2020: o TD é o mesmo do estabelecimento Jacar. Agendamos uma Videocall hoje às 16:30. Falei com o td, ele disse que não utiliza a plataforma, quase não entra no painel. Estava explicando como podemos transformar e mudar com estratégias e ele precisou sair da reunião. Reagendamos para amanhã às 16:30
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta.",
Big Espeto - Rita Vieira,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Pikurrucha's - Perdizes,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,6,,
Basic Burger - Pinheiros,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
China In Box - Jardim Sao Bento,,,Vetado por decisão interna,2024-10-22T20:50:19.133Z,,,68000000000,
Duckbill - Centro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,06/12 - Estratégia por whatsapp enviada*,
Restaurante Ikebana - Vila Constança,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Nippon Culinária Japonesa - Candelária,,,Esta satisfeito com o sistema atual,2024-11-04T19:57:20.980Z,,,85000000000,
Duckbill - Jardim Tangara,,,Empresa Encerrada,2024-10-22T20:03:32.003Z,,,"- 15/01 Cliente respondeu ""na verdade eu não tenho só a máquina da stone aqui, tenho outra também e o que aconteceu é que como eu só consigo passar os pontos quando a pessoa passa o cartão na máquina da stone, acabou gerando desconfortos com outros clientes que passam na outra máquina ou mesmo pagam em dinheiro (os clientes também queriam os pontos mas não iam passar na máquina) por isso paramos de usar no momento. Não ficou tão interessante devido a este travamento com a máquina da stone...""
 
 - 14/01 - enviei wpp com comparativo de gastos entre clientes cadastrados e não cadastrados e também demonstrando a relação entre créditos distribuídos e resgatados
 TD respondeu prontamente falando que o problema são seus funcionários, que não cadastram clientes.
 Clientes cadastrados gastam 30% mais nesse EC, então bati muito nessa tecla pra incentivá-la a cobrar que seus funcionários cadastrem",
Quinhao Restaurante - Centro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Amor aos Pedaços - PAPICU,,,Contato inexistente,2024-10-18T19:18:57.721Z,,,"27/05/2020: {CAMPANHA DE OFERTAS ATIVAS} Falei com o td, ele disse que estão fechados, e assim que retornar com o delivery entra em contato para fazer o cadastro do compre local.",
La Maison de La Bière - São Roque - Centro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Grand Cru - Brasília,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,2,,
Boi Nos Ares - Jd Boa Esperanca,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,1,,
Paris 6 SSA - Caminho das Árvores,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"71999550310
 - 04/12 - FUP email (o número não tem whatsapp)
 
 - 28/11 - email com informações sobre uso do painel, reforço da ""frase mágica"" e sugestão de oferta de aniversário",
Una Sua Pizza - Botafogo,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Black Pepper Burger - CANDEAL,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Minas Grill - Taguatinga,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"- 13/12 - FUP wpp
 
 - 28/11 - email com informações sobre uso do painel, reforço da ""frase mágica"" e sugestão de uso do whatsapp para ofertas exclusivas para clientes cadastrados
 
 - 28/11 - compilado de informações sobre o cliente em https://docs.google.com/spreadsheets/d/1PJ1wrwgRCd54Rp4B4z4r39Uvk16j1wFEFmIfW4TXjZA/edit?ts=5ddfd18d#gid=0
 
 - De posse dessas informações, Victor enviou mensagem via workplace para Agente Stone responsável pelo EC. A ideia é que o Agente nos ajude a fazer contato com o TD e incentivar o engajamento do mesmo com a ferramenta",
Original Hamburgueria - São Luís,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,**,
Modelo Frei 2 - Centro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"não encontrei nada
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta - só visualizou.",
Espetinho Pizza Bar - JARDIM FLORESTAL,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Gelato Borelli - Tibery,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"Liguei e não atendeu, mandei msg pela segunda vez.",
Sr. Banana Açaí Centro - Centro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"71 993524417 - Suzane, esposa do TD, cuida do Financeiro",
Hooroo Australian Pub - Bom Fim,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Chinatche - Centro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Puro Gelato Iguatemi Ribeirão Preto - Vila do Golf,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
De Boas - Centro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
We Love Coffee - SBC ,,,Contato inexistente,2024-10-18T19:39:20.552Z,,,,
Pizzaria Fratelli - POLO BRAGANCA PAULISTA,,,Empresa Encerrada,2024-10-18T19:41:19.675Z,,,Já eram clientes,
4ever Suplementos - Taboão,,,Contato inexistente,2024-10-18T19:40:08.445Z,,,,
Alex Lanches Turu - Chácara Brasil,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"98988284252
 - 04/12 - FUP wpp
 
 - 28/11 - email com informações sobre uso do painel, reforço da ""frase mágica"" e sugestão de uso do whatsapp para ofertas exclusivas para clientes cadastrados
 
 
 - 28/11 - compilado de informações sobre o cliente em https://docs.google.com/spreadsheets/d/1PJ1wrwgRCd54Rp4B4z4r39Uvk16j1wFEFmIfW4TXjZA/edit?ts=5ddfd18d#gid=0
 
 - De posse dessas informações, Victor enviou mensagem via workplace para Agente Stone responsável pelo EC. A ideia é que o Agente nos ajude a fazer contato com o TD e incentivar o engajamento do mesmo com a ferramenta",
Panificadora Kero Mais - Centro,,,Contato inexistente,2024-11-08T20:11:01.988Z,,3,,
Bariloche - Bairro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"Mano, ela é muito enérgica, sério hehe Ela ME CONFIRMOU q esse horário ela estaria de boa, disse que se não pudesse provavelmente ela iria avisar na madrugada ou um dia antes. Disse tb q trabalha de noite/madruga pelo lanche. Reunião: 16/03 às 10:30 @Amanda Chinelatto",
Miqueias Ac - AGUAS CLARAS,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,7,,
Meatpacking NY Prime Burger - Meireles,,,Limpeza de Funil,2025-05-08T21:32:04.428Z,,,"@Ana Carvalho 27/05/2020:{CAMPANHA DE OFERTAS ATIVAS} Falei com o TD, ele queria entender como funcionaria, expliquei uma introdução por whats e depois o td não me respondeu mais.
 @Ana Carvalho 28/05/2020: falei com o td, ele disse que me chama amanhã, pois hoje está uma loucura por conta do dia do hamburguer.
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta.",
Miqueias Taguapark - Taguatinga,,,Limpeza de Funil,2025-05-08T21:31:58.510Z,,,,
Kibedohassib - Centro,,,Não quis ouvir,2024-11-08T20:15:24.658Z,,,,
Grãos da Terra - Celeiro & Café - Centro,,,Limpeza de Funil,2025-05-08T21:31:49.394Z,,,,
Pastel 10 - Arse,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Castrini - Barreiros,,,Empresa Encerrada,2024-11-19T21:44:23.119Z,,,,
Insta Burguer - Água Fria,,,Empresa Encerrada,2024-10-15T13:50:30.454Z,,,"Falei com o mário, ele e a evelin são sócios do local e ele que contratou collact, o agente stone explicou bem direitinho sobre a ferramenta e ele achou inclusive q seriia muito bom nessa fase q ele ta trabalhando com o delivery! Hoje o agente stone ia lá com ele pra explicar os processos básicos da collact, mas tinha deixado avisado que iamos ligar pra fazer a vídeo chamada ♥ Reunião: 24/03 às 15 hrs @Bruna Gianini",
Nella Pietra - Pl Sul - Centro,,,Não quis ouvir,2024-11-19T17:17:00.774Z,,6,,
Boni Dieta Gourmet - Bancários,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"13/01: comidas saudáveis e congeladas, então cliente não come no local. Cardápio muda toda semana. Região pouco comercial. Hoje, ta meio a meio entre pessoas que buscam no EC e pessoas que recebem em casa. Trabalham com Ifood e Uber Eats com entregas das ferramentas. EC já tem 3 anos. Dificuldade de vender no 2º semestre. TD sentiu queda das vendas em 2019 e TD disse que surgiram outros concorrentes na cidade.",
Rest Changay Pn - PONTA NEGRA,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,85000000000,
FULLTIME Suplementos - São Roque - Centro,,,Não é Restaurante,2024-11-19T21:51:39.553Z,,2,,
Restaurante Qgula - Base,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"68999829596 - Marcos
 68996082376 - Aline (operacional)",
Vikings MP - Mata da Praia,,,Empresa Encerrada,2024-10-15T13:09:24.518Z,,,não atendeu e depois desligou celular,
Pizzaria Bel Mangio - Centro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"13/01: estavam procurando um programa de fidelidade e o TD gostou bastante da ferramenta. Pizzaria pequena no centro de Florianópolis, perto da Beira Mar. Área bem residencial. Forte maior é o delivery. Tem muitos motoboys próprios, exceto pelos motoboys da Uber Eats. Têm 7 POS. A ideia é trazer o cliente de volta, mandar mensagens, ter promoções diferenciadas. TD se interessou pela pesquisa de satisfação e pediu alguma forma de impossibilitar o cadastro dos funcionários. Conversamos por vídeo, a conversa foi super boa e o TD ficou de",
Umai Restaurante - Setor Oeste,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"Não atendeu (2x)
 
 Julia 
 
 umai.goiania@gmail.com",
Farol Do Lago - Brasília,,,Empresa Encerrada,2024-10-14T20:09:20.846Z,,,"ela respondeu pelo whats, foi bem proetiva e bem solícita, seria legal mandar msg logo pra ela : ) Reunião: 14:15 dia: 11/03 @Eduardo Figueiredo",
Miqueias Ts - Taguatinga,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Eat Kitchen - MOINHOS DE VENTO,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,4,Não quer onboarding,
Miqueias C1 - Vicente Pires,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,7,duda já entrou em contato,
T Steak Restaurante - São João,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"Ia abrir o restaurante essa semana, mas com o surto de COVID nao conseguiu abrir, mas que continuar mantendo contato conosco",
Tapiocaria da Laura - Centro,,,Empresa Encerrada,2024-10-14T20:47:07.752Z,,,46000000000,
Hum! Burguer - Norte (Águas Claras),,,Sem contato,2024-10-15T12:53:41.705Z,,,Não atendeu (2x),
La Boleria - Centro,,,Sem contato,2024-10-15T12:47:43.406Z,,,"Bru o cliente é novo na stone e tem algumas duvidas da maquininha e de como funciona a collact, ja passei o numero do RC para ele. Como ele é autocred tem que ser bem explicadinho como funciona a collact e tudo mais. @Bruna Reis 
 
 @Ana Carvalho 04/05/2020: O TD pediu que eu converse com a filha dele, ela entendeu toda a funcionalidade. Gostou. Fez o preenchimento no Compre Local;
 Mas não ligou a câmera e nem o microfone na DEMO.
 @Ana Carvalho 11/05/2020: Falei com a Td Carol, alteramos o cadastro pois é ela quem decide tudo ao invés do pai. E realizamos o seu credenciamento na collact, pois ela não estava com permissão e não conseguia abrir o app na máquina.
 @Ana Carvalho 14/05/2020: falei com a td, ela teve duas dúvidas, 1 como ela fazia para entrar no painel e 2 se a pessoa xpto passar na loja A e depois passar na loja dela, se essa pessoa precisa digitar o cpf novamente. Expliquei pelo whatsapp.",
Dom Sabor - Igapó,,,Esta satisfeito com o sistema atual,2024-10-09T20:06:46.559Z,,,84000000000,
Strondas - Santo Antônio,,,Sem contato,2024-10-09T17:21:01.621Z,,,,
T-dog - Samambaia Norte,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"Manooo, ela é uma fofa. Ela ta abrindo o negócio agora. Ela vai fazer uma pré inauguração na quinta (19/03) pra ver como vai ser o fluxo pois o restaurante dela é numa avenida. A inauguração mesmo será na sexta e ela disse que queria conversar conhecendo um pouco do negócio dela, por isso marcou pra segunda em que ela teria uns dois dias assim pra chegar com algum insumo na conversa com você! Ela pareceu bem aberta e oq mais chamou a atenção dela na collact foi o pacote todo, principalmente pq ela ta abrindo o negócio agora e ela sabe da importância de fidelizar os clientes já no início. EXPECTATIVAS FORAM CRIADAS pra ela haha Reunião seg (23/03) às 11:15 @Eduardo Figueiredo",
Espetos Ferreira - Vila Romana,,,Parou de responder,2024-11-19T17:15:22.168Z,,,Email não é do TD,
Tabua De Frios Associação - Centro,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"26/11 - Whats enviado para o cliente, pareceu interessado no começo mas deixou de responder. Estava com dúvidas.
 
 ""22/11 - e-mail ! Cliente não possuia telefone com whats! Não obtive respostas
 ""
 
 31/7- Enviei meu video ajudando a cadastrar mais
 
 30/7 - Enviei o meu vídeo de cadastro
 
 29/7 - Fiz contato por telefone e whatsapp pra entender o problema que ele tinha - funcionário colocando todos os cartões no CPF dele
 
 Video Loom: https://www.loom.com/share/eb0e9c9e081c4426872ef72c0ae02625",
Galeteria Maranhão Delivery - Conjunto Ceará II,,,Sem contato,2024-10-16T15:18:33.297Z,,,"17/06/2020: falei com o td, ele quer mudar algumas ofertas. Agendamos para amanhã às 9:45
 18/06/2020: O TD teve um imprevisto e não entrou na demo, ficou de remarcar e não respondeu mais.",
Quiosque Frutos Do Mar - Chácara Belenzinho,,,Sem contato,2024-10-16T17:48:20.514Z,,,,
Arvore Do Pao - Bela Vista,,,Sem contato,2024-10-09T17:31:54.963Z,,,,
Bella Focaccia - Lago Norte,,,Empresa Encerrada,2024-10-04T12:59:26.068Z,,,sem dúvidas.,
Pé De Brigadeiro - Monte Castelo,,,Empresa Encerrada,2024-10-03T21:25:19.348Z,,,Aguardando máquinas.,
Simple Burguer - Pompeia,,,Sem contato,2024-10-09T17:37:44.320Z,,,,
Polpetta - Centro,,,Sem contato,2024-10-17T14:14:47.622Z,,,"13/12 - FUP
 5/12 - whatsapp com estratégia
 04/12 - envio de e-mail com estratégia",
Bem Delicioso - Águas Claras,,,Empresa Encerrada,2024-10-04T13:18:34.584Z,,,,
Hadji - Vila Planalto,,,Sem contato,2024-10-24T21:32:48.288Z,,,Sofreu com instabilidade do dia 17.08,
Kibo Sushibar - Vila Olinda,,,Sem contato,2024-10-03T20:47:09.197Z,,,68000000000,
Alpha Pane- LOTEAMENTO ALPH FLAMBOYANT,,,Sem contato,2024-10-16T15:08:25.360Z,,,"62992767311
 @Ana Carvalho 
 13/05/2020: tentei contato por ligação, para conversar com o TD do alerta de fraude de um usuário, porém o mesmo não atendeu.
 @Ana Carvalho 
 14/05/2020: Falei com a Gerente Laine, expliquei o ocorrido, ela disse que não sabia que poderia fazer isso, e que o Divino ramos é o entregador deles e que vai conversar com ele.
 @Ana Carvalho 27/05/2020: Tentei contato pelo whatsapp e não obtive resposta. {CAMPANHA DE OFERTAS ATIVAS}",
Vanilla Caffe - Kinoplex Itaim - Itaim Bibi,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Tomato Cucina - Lagoa da Conceição,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Sweet Skull - JARDIM GLORIA,,,Sem contato,2024-11-01T18:37:53.438Z,,,,
Nova Construacre - Conjunto Mascarenha De Moraes,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Viva Conveniencia - Setor de Habitações Individuais Norte,,,Parou de responder,2024-11-08T20:08:39.155Z,,1,"21/11 - Recebeu o vídeo porém não retornou um segundo contato via whats app
 
 Vídeo Loom: https://www.loom.com/share/f91ec948f6eb4d4785caed1f67414265",
Santo Vinho - Coroa do Meio,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Alecrim Tapiocaria - Capoeira,,,Sem contato,2024-10-03T15:10:38.154Z,,,,
La Cave - Bosque,,,Sem contato,2024-10-24T21:31:37.840Z,,,68981052370 (Paulo Brum),
Panificadora Olimpia - Bairro DE FATIMA,,,Sem contato,2024-10-03T15:05:17.995Z,,,,
Diò Arte in Cucina - Vila Mariana,,,Sem contato,2024-10-15T17:12:50.756Z,,,,
Açaí Beat,,,Sem contato,2024-10-10T00:33:29.171Z,,,,
A Firma - Praia de Maresias,,,Sem contato,2024-10-17T20:49:40.030Z,,,,
